,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-06-30,61.54,62.15,60.37,60.37,261802,38.157180904644555,0.0,108746.66373938881,-0.020444588674346953
2010-07-01,60.72,60.9,59.49,60.62,530881,39.495043797362484,5.643340857787811,149160.30882715806,0.0041411297001821
2010-07-02,60.66,61.34,60.14,60.9,422210,41.03365622401569,11.963882618510183,187957.0143484734,0.004618937644341736
2010-07-05,60.21,60.9,60.13,60.39,131344,39.08410229080703,0.4514672686230954,173172.79753419105,-0.008374384236453203
2010-07-06,61.11,61.74,60.76,61.6,124100,45.67838536667536,27.765237020316118,179586.27269796655,0.020036429872495543
2010-07-07,61.6,62.8,61.34,62.8,634112,51.30795867247245,54.853273137697514,367646.85138333216,0.01948051948051943
2010-07-08,63.03,63.1,62.3,63.1,342900,52.629662001917545,61.62528216704298,520262.8289015889,0.004777070063694433
2010-07-12,62.9,63.31,62.25,62.5,451503,49.72266187078105,48.08126410835221,459504.14400676824,-0.009508716323296418
2010-07-13,62.75,63.25,62.6,63.25,177668,53.20229697773334,65.01128668171565,449405.9416400911,0.01200000000000001
2010-07-14,62.5,63.07,62.5,63.05,349089,52.16548947823018,65.68627450980384,507698.8952596467,-0.003162055335968472
2010-07-15,62.93,63.05,62.31,63.05,200991,52.16548947823018,65.68627450980384,549343.2494440433,0.0
2010-07-16,62.6,62.83,61.66,61.85,185051,45.93613789841548,42.528735632183974,476682.791629849,-0.019032513877874635
2010-07-19,61.94,62.8,61.94,62.8,270533,50.93173391154543,84.37499999999991,489701.9414667832,0.015359741309620034
2010-07-20,62.68,63.89,62.25,63.8,496829,55.58415727837497,100.0,591241.0951137375,0.015923566878981
2010-07-21,64.2,64.46,63.54,63.9,269140,56.03309806657091,100.0,560414.2461605519,0.0015673981191222097
2010-07-22,64.58,65.63,64.56,65.3,419408,61.847288889318705,100.0,547990.7932207575,0.021909233176838683
2010-07-23,65.3,65.99,64.8,65.99,502552,64.34955831690672,100.0,652994.035816228,0.010566615620214437
2010-07-26,65.73,66.0,65.51,65.99,178302,64.34955831690672,100.0,691003.6577778328,0.0
2010-07-27,66.1,66.47,65.72,66.13,295812,64.89139763788181,100.0,652519.2542368677,0.002121533565691891
2010-07-28,66.13,66.44,65.79,66.19,206516,65.13596089047094,100.0,592619.4646408819,0.0009073037955542596
2010-07-29,66.5,66.81,65.95,66.5,326315,66.43683622614958,100.0,543215.6247542426,0.004683486931560621
