,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-09-15,66.85,67.6,66.47,67.6,67.6,315900,0.0,1.0
2010-09-16,67.27,67.3,66.9,67.2,67.2,183892,0.0,1.0
2010-09-17,66.9,67.19,66.3,66.6,66.6,365595,0.0,1.0
2010-09-20,66.67,67.62,66.55,67.35,67.35,634774,0.0,1.0
2010-09-21,67.37,67.5,66.81,67.5,67.5,433085,0.0,1.0
2010-09-22,67.5,67.9,66.8,67.9,67.9,204282,0.0,1.0
2010-09-23,67.43,68.84,67.35,68.28,68.28,426423,0.0,1.0
2010-09-24,68.89,68.89,67.3,67.85,67.85,456131,0.0,1.0
2010-09-27,68.0,68.28,67.34,68.11,68.11,893196,0.0,1.0
2010-09-28,68.15,68.75,67.8,68.65,68.65,369381,0.0,1.0
2010-09-29,68.39,68.8,68.2,68.8,68.8,872209,0.0,1.0
2010-09-30,68.8,69.1,68.32,68.7,68.7,411575,0.0,1.0
2010-10-01,69.0,69.77,68.48,69.77,69.77,339282,0.0,1.0
2010-10-04,69.5,69.88,69.38,69.85,69.85,187640,0.0,1.0
2010-10-05,70.0,70.61,69.95,70.56,70.56,411326,0.0,1.0
2010-10-06,70.71,70.71,69.64,69.86,69.86,358150,0.0,1.0
2010-10-07,70.0,70.49,68.64,69.3,69.3,456432,0.0,1.0
2010-10-08,69.0,70.15,69.0,70.15,70.15,288298,0.0,1.0
2010-10-11,70.4,70.44,70.1,70.25,70.25,395311,0.0,1.0
2010-10-13,69.76,71.35,69.76,70.89,70.89,549054,0.0,1.0
2010-10-14,70.81,71.22,70.51,71.07,71.07,187574,0.0,1.0
2010-10-15,71.1,71.29,70.66,71.21,71.21,185010,0.0,1.0
2010-10-18,70.8,71.13,70.65,71.1,71.1,319840,0.0,1.0
2010-10-19,70.4,70.41,68.94,69.26,69.26,1029808,0.0,1.0
2010-10-20,69.69,70.02,68.96,69.8,69.8,344643,0.0,1.0
2010-10-21,69.57,70.1,68.22,69.1,69.1,470905,0.0,1.0
2010-10-22,69.69,69.69,68.22,68.72,68.72,510692,0.0,1.0
2010-10-25,69.11,69.45,68.73,69.1,69.1,256400,0.0,1.0
2010-10-26,68.6,70.15,68.4,70.15,70.15,348596,0.0,1.0
2010-10-27,69.99,70.15,69.4,70.0,70.0,843440,0.0,1.0
2010-10-28,70.53,70.8,69.5,70.03,70.03,303760,0.0,1.0
2010-10-29,69.8,70.2,69.59,70.2,70.2,292530,0.0,1.0
2010-11-01,70.4,71.0,70.06,71.0,71.0,248431,0.0,1.0
2010-11-03,71.0,71.45,70.74,71.3,71.3,560009,0.0,1.0
2010-11-04,71.56,72.4,71.56,72.4,72.4,316089,0.0,1.0
2010-11-05,71.46,72.39,71.46,71.9,71.9,129111,0.0,1.0
2010-11-08,71.74,72.12,71.68,72.01,72.01,278937,0.0,1.0
2010-11-09,72.2,72.29,70.91,70.91,70.91,231412,0.0,1.0
2010-11-10,70.85,71.16,70.22,71.07,71.07,184662,0.0,1.0
2010-11-11,70.75,70.75,70.23,70.39,70.39,235099,0.0,1.0
2010-11-12,69.7,70.18,69.21,69.64,69.64,376619,0.0,1.0
2010-11-16,69.2,69.4,67.88,68.28,68.28,896361,0.0,1.0
2010-11-17,68.61,69.49,68.4,69.49,69.49,481568,0.0,1.0
2010-11-18,69.7,70.39,69.5,70.0,70.0,572051,0.0,1.0
2010-11-19,69.5,70.3,69.5,70.3,70.3,944197,0.0,1.0
2010-11-22,70.3,70.4,68.45,68.99,68.99,426206,0.0,1.0
2010-11-23,68.3,68.3,66.99,67.34,67.34,465092,0.0,1.0
2010-11-24,68.0,68.99,67.5,68.99,68.99,375712,0.0,1.0
2010-11-25,68.99,69.01,68.53,68.53,68.53,159659,0.0,1.0
2010-11-26,67.51,68.16,67.48,67.6,67.6,403792,0.0,1.0
2010-11-29,67.05,67.69,66.4,67.33,67.33,330209,0.0,1.0
2010-11-30,67.49,67.8,66.5,67.0,67.0,632324,0.0,1.0
2010-12-01,67.97,68.87,67.97,68.75,68.75,449077,0.0,1.0
2010-12-02,69.0,69.19,68.41,68.77,68.77,266823,0.0,1.0
2010-12-03,68.77,69.25,68.06,69.11,69.11,336281,0.0,1.0
2010-12-06,69.0,69.15,68.59,68.6,68.6,134070,0.0,1.0
2010-12-07,69.5,69.82,68.76,68.8,68.8,285950,0.0,1.0
2010-12-08,68.8,69.29,67.33,67.35,67.35,403594,0.0,1.0
2010-12-09,67.52,67.84,66.84,67.22,67.22,261285,0.0,1.0
2010-12-10,67.6,67.89,67.18,67.89,67.89,269171,0.0,1.0
2010-12-13,68.31,68.7,68.09,68.7,68.7,265722,0.0,1.0
2010-12-14,68.2,68.43,67.76,68.09,68.09,518530,0.0,1.0
2010-12-15,67.6,67.73,66.9,66.9,66.9,822625,0.0,1.0
2010-12-16,67.29,67.6,66.36,66.45,66.45,1129772,0.0,1.0
2010-12-17,66.45,67.28,66.2,67.26,67.26,443023,0.0,1.0
2010-12-20,67.6,67.6,66.62,66.7,66.7,553288,0.0,1.0
2010-12-21,66.96,67.9,66.96,67.9,67.9,223346,0.0,1.0
2010-12-22,67.65,68.05,66.9,67.62,67.62,353664,0.0,1.0
2010-12-23,67.75,68.0,67.5,68.0,68.0,104808,0.0,1.0
2010-12-27,67.5,67.5,67.17,67.2,67.2,227249,0.0,1.0
2010-12-28,67.4,67.4,67.05,67.38,67.38,486546,0.0,1.0
2010-12-29,68.27,68.35,67.54,68.35,68.35,206477,0.0,1.0
2010-12-30,68.47,69.42,68.3,68.53,68.53,310385,0.0,1.0
2011-01-03,69.0,69.7,68.93,69.24,69.24,175549,0.0,1.0
2011-01-04,68.4,69.7,68.4,69.7,69.7,473835,0.0,1.0
2011-01-05,69.67,70.32,69.0,70.25,70.25,306433,0.0,1.0
2011-01-06,70.4,70.4,69.6,69.65,69.65,284132,0.0,1.0
2011-01-07,69.75,69.96,68.99,69.33,69.33,217247,0.0,1.0
2011-01-10,69.06,69.31,68.93,69.31,69.31,299937,0.0,1.0
2011-01-11,69.7,69.99,69.53,69.7,69.7,312479,0.0,1.0
2011-01-12,69.7,71.0,69.7,71.0,71.0,919320,0.0,1.0
2011-01-13,70.71,71.1,69.96,69.99,69.99,380916,0.0,1.0
2011-01-14,69.7,70.4,69.66,70.25,70.25,230763,0.0,1.0
2011-01-17,70.02,70.12,69.73,70.04,70.04,520134,0.0,1.0
2011-01-18,70.4,70.4,69.92,70.21,70.21,114547,0.0,1.0
2011-01-19,70.2,70.4,69.14,69.3,69.3,198522,0.0,1.0
2011-01-20,69.01,69.22,68.4,68.75,68.75,340565,0.0,1.0
2011-01-21,69.0,69.23,68.31,68.35,68.35,328410,0.0,1.0
2011-01-24,68.45,68.74,68.0,68.74,68.74,144724,0.0,1.0
2011-01-26,68.74,68.74,67.71,67.95,67.95,1275452,0.0,1.0
2011-01-27,68.25,68.4,67.05,67.3,67.3,525109,0.0,1.0
2011-01-28,67.3,67.35,65.14,65.94,65.94,663325,0.0,1.0
2011-01-31,66.21,66.44,65.56,65.78,65.78,572597,0.0,1.0
2011-02-01,66.88,67.24,66.13,67.24,67.24,430597,0.0,1.0
2011-02-02,66.93,67.31,65.85,65.97,65.97,380616,0.0,1.0
2011-02-03,65.97,66.07,65.36,66.05,66.05,260376,0.0,1.0
2011-02-04,66.0,66.18,64.42,64.53,64.53,526588,0.0,1.0
2011-02-07,64.99,65.15,64.14,64.68,64.68,361852,0.0,1.0
2011-02-08,64.5,65.43,64.36,64.85,64.85,321064,0.0,1.0
2011-02-09,64.85,64.87,63.24,63.34,63.34,561704,0.0,1.0
2011-02-10,63.6,64.41,63.47,63.85,63.85,574535,0.0,1.0
2011-02-11,64.11,65.1,63.85,64.91,64.91,492435,0.0,1.0
2011-02-14,64.91,65.96,64.68,65.83,65.83,293840,0.0,1.0
2011-02-15,65.53,66.09,65.01,65.57,65.57,384003,0.0,1.0
2011-02-16,65.9,66.73,65.87,66.55,66.55,1041294,0.0,1.0
2011-02-17,66.84,67.01,66.24,66.88,66.88,455837,0.0,1.0
2011-02-18,66.79,67.5,66.5,67.5,67.5,1482177,0.0,1.0
2011-02-21,66.94,66.94,66.28,66.55,66.55,391390,0.0,1.0
2011-02-22,66.0,66.77,65.5,65.67,65.67,667960,0.0,1.0
2011-02-23,65.79,66.52,65.25,66.2,66.2,497426,0.0,1.0
2011-02-24,66.19,66.54,65.87,66.34,66.34,1368509,0.0,1.0
2011-02-25,67.59,67.59,65.54,66.2,66.2,320817,0.0,1.0
2011-02-28,66.44,66.75,65.9,66.75,66.75,1016445,0.0,1.0
2011-03-01,66.8,66.88,65.5,65.75,65.75,524339,0.0,1.0
2011-03-02,65.5,66.54,65.34,66.53,66.53,300644,0.0,1.0
2011-03-03,66.73,67.45,66.2,67.45,67.45,231942,0.0,1.0
2011-03-04,67.24,67.47,66.74,67.47,67.47,461822,0.0,1.0
2011-03-09,66.7,67.07,66.38,66.51,66.51,65077,0.0,1.0
2011-03-10,66.44,66.44,65.08,65.25,65.25,471189,0.0,1.0
2011-03-11,65.99,66.25,64.81,65.93,65.93,302963,0.0,1.0
2011-03-14,65.31,66.55,65.31,66.4,66.4,712752,0.0,1.0
2011-03-15,64.7,66.36,64.11,66.36,66.36,1285020,0.0,1.0
2011-03-16,66.4,66.68,64.83,65.1,65.1,1674799,0.0,1.0
2011-03-17,66.0,66.0,65.28,65.29,65.29,328235,0.0,1.0
2011-03-18,66.15,66.56,65.88,66.17,66.17,464365,0.0,1.0
2011-03-21,66.9,66.9,65.88,65.88,65.88,845443,0.0,1.0
2011-03-22,65.81,66.86,65.81,66.67,66.67,791774,0.0,1.0
2011-03-23,66.89,67.08,66.3,66.95,66.95,293017,0.0,1.0
2011-03-24,67.39,67.39,66.58,66.75,66.75,303093,0.0,1.0
